,SDK Installer,SDK Binaries,Runtime Installer,Runtime Binaries,ASP.NET Core Runtime,Windows Desktop Runtime,Scraped Date,Package name,Version
Download Table,,,,,,,,,
Windows,x86 | x64 | Arm64,x86 | x64 | Arm64,x86 | x64 | Arm64,x86 | x64 | Arm64,x86 | x64 |; Hosting Bundle,x86 | x64 | Arm64,14-10-2025,,
macOS,x64 | ARM64,x64 | ARM64,x64 | ARM64,x64 | ARM64,x64 | ARM64,-,14-10-2025,,
Linux,Snap and Package Manager,x64 | Arm | Arm64 | Arm32 Alpine | x64 Alpine,Packages (x64),x64 | Arm | Arm64 | Arm32 Alpine | Arm64 Alpine | x64 Alpine,x64 | Arm | Arm64 | x64 Alpine,-,14-10-2025,,
,Checksums,Checksums,Checksums,Checksums,Checksums,Checksums,14-10-2025,,
,,,,,,,,,
,,,,,,,,Updated Packages,
,,,,,,,14-10-2025,Microsoft.WindowsDesktop.App.Runtime.win-x86,8.0.0
,,,,,,,14-10-2025,Microsoft.WindowsDesktop.App.Runtime.win-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.WindowsDesktop.App.Ref,8.0.0
,,,,,,,14-10-2025,Microsoft.WindowsDesktop.App.Runtime.win-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.Windows.Compatibility,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.MonoTargets.Sdk.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.WebAssembly.Sdk,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.ILLink.Tasks,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.WebAssembly.Templates,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.WebAssembly.Wasi.Sdk,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.WebAssembly.Templates.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.WebAssembly.Templates.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-8.0.100.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Crossgen2.linux-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-8.0.100.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Crossgen2.win-x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.osx-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.linux-arm64.Cross.android-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.linux-arm64.Cross.android-x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.linux-arm64.Cross.browser-wasm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.linux-bionic-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.linux-musl-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.linux-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.ios-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.linux-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.multithread.browser-wasm.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.tvossimulator-x64.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.tvossimulator-x64.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.wasi-wasm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.win-x86.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.win-x64.Msi.x64,8.0.0
