Version,Servicing option,Availability date,"End of servicing: Home, Pro, Pro Education, and Pro for Workstations","End of servicing: Enterprise, Education, IoT Enterprise, and Enterprise multi-session",Latest update,Latest revision date,Latest build,Mainstream support end date,Extended support end date,Update type,Build,KB article,,Month,Type,Page_Headings
25H2,General Availability Channel,2025-09-30,2027-10-12,2028-10-10,,2025-09-30,26200.6584,,,,,,,,,Microsoft Ignite | Windows 11 release information | Windows 11 current versions by servicing option | Windows 11 release history | Windows 11 hotpatch calendar | Additional resources | In this article
24H2,General Availability Channel,2024-10-01,2026-10-13,2027-10-12,2025-09 D,2025-09-29,26100.6725,,,,,,,,,
23H2,General Availability Channel,2023-10-31,2025-11-11,2026-11-10,2025-09 D,2025-09-23,22631.5984,,,,,,,,,
22H2,General Availability Channel,2022-09-20,End of servicing,2025-10-14,2025-09 B,2025-09-09,22621.5909,,,,,,,,,
24H21,Long-Term Servicing Channel (LTSC),2024-10-01,,,2025-09 D,2025-09-29,26100.6725,2029-10-09,2034-10-10,,,,,,,
,General Availability Channel,2025-09-30,,,,,,,,,26200.6584,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
